Publication.Title,CountryOfOrigin,Qid_CoO,Inception,Qid,Count
Journal of University Teaching & Learning Practice,Australia,Q408,2003-01-01T00:00:00Z,Q15751348,1
"Journal of Undergraduate Research at Minnesota State University, Mankato",,,2000,,1
Journal of Sound and Music in Games,United States of America,Q30,2020,Q96723234,1
Journal of Roleplaying Studies and STEAM,Mexico,Q96,2022-01-01T00:00:00Z,Q123528952,8
Journal of Religion and Popular Culture,Canada,Q16,2002-01-01T00:00:00Z,Q15760607,1
Journal of Psychology and Psychotherapy Research,Pakistan,Q843,2014,Q96721630,1
Journal of Popular Culture,NA,NA,1968-01-01T00:00:00Z,NA,NA
Journal of Open Source Software,United States of America,Q30,2016-05-01T00:00:00Z,Q50817797,1
Journal of Map & Geography Libraries,United States of America,Q30,2004-01-01T00:00:00Z,Q15817910,1
Journal of Leadership Studies,NA,NA,2007-01-01T00:00:00Z,NA,NA
Journal of Language and Literacy Education,United States of America,Q30,2004-01-01T00:00:00Z,Q98166405,1
Journal of Jewish Ethics,United States of America,Q30,2015-01-01T00:00:00Z,Q85772145,1
Journal of Interactive Drama,Taiwan,Q865,2006-07-01T00:00:00Z,Q123528999,4
Journal of Humanistic Psychology,United States of America,Q30,1961-01-01T00:00:00Z,Q6295308,1
Journal of Homosexuality,NA,NA,NA,NA,NA
Journal of Graduate Medical Education,NA,NA,NA,NA,NA
Journal of Gaming & Virtual Worlds,NA,NA,NA,NA,NA
Journal of Creativity in Mental Health,United States of America,Q30,2005-01-01T00:00:00Z,Q15817465,2
Journal of Contemporary Ethnography,United States of America,Q30,1972-01-01T00:00:00Z,Q6295039,1
Journal of Consent-Based Performance,NA,NA,NA,NA,NA
Journal of Community Safety and Well-Being,Canada,Q16,2016-05-01T00:00:00Z,Q96712856,1
Journal of Child & Youth Care,,,1985,,1
Journal of Chemical Education,United States of America,Q30,1924-01-01T00:00:00Z,Q898740,1
Journal of Autism and Developmental Disorders,United States of America,Q30,1971-01-01T00:00:00Z,Q6294817,1
Journal of Artistic Creation & Literary Research,,,2013-01-01T00:00:00Z,,1
John Marshall Journal of Computer and Information Law,NA,NA,NA,NA,NA
JMIR Research Protocols,Canada,Q16,2012-01-01T00:00:00Z,Q27724721,1
"Itinéraires. Littérature, textes, cultures",France,Q142,2008-01-01T00:00:00Z,Q27990515,1
Iowa Law Review,United States of America,Q30,1915-01-01T00:00:00Z,Q6064504,1
Interscript Journal,United Kingdom,Q145,2017,Q96708252,1
International journal of play,United States of America,Q30,2012-01-01T00:00:00Z,Q29043941,2
International Journal of the Humanities,,,2012-01-01T00:00:00Z,,1
International Journal of Role-playing,Kingdom of the Netherlands,Q29999,2009-01-01T00:00:00Z,Q69671730,1
International Journal of Role-Playing,Kingdom of the Netherlands,Q29999,2009-01-01T00:00:00Z,Q69671730,41
International Journal of Play Therapy,United States of America,Q30,1992-01-01T00:00:00Z,Q6051542,1
International Journal of Play,NA,NA,NA,NA,NA
International Journal of Mental Health and Addiction,United States of America,Q30,2002-01-01T00:00:00Z,Q15753045,1
International Journal of Information and Education Technology,,,2011,,1
International Journal of Group Psychotherapy,United Kingdom,Q145,1951-01-01T00:00:00Z,Q15752482,2
International Journal of Game-Based Learning,United States of America,Q30,2011,Q96332658,1
International Journal of Educational Research and Innovation,Spain,Q29,2003-01-01T00:00:00Z,Q50817350,1
International Journal of Education through Art,NA,NA,NA,NA,NA
International Journal of Education and Research,,,1977-01-01T00:00:00Z,,1
International Journal of Education Through Art,,,2004-01-01T00:00:00Z,Q15757831,1
International Journal of Designs for Learning,NA,NA,NA,NA,NA
International Journal of Cultural Studies,NA,NA,NA,NA,NA
International Forestry Review,NA,NA,NA,NA,NA
International Dialogues on Education Journal,Germany,Q183,2013-01-01T00:00:00Z,Q50816161,1
Interacções,Portugal,Q45,2005-01-01T00:00:00Z,Q123529328,1
Inter*Action: The Journal of Role-Playing and Storytelling Systems,NA,NA,NA,NA,NA
Innovative Practice in Higher Education,,,2018-01-01T00:00:00Z,,1
"Information, Communication & Society",United Kingdom,Q145,1998-01-01T00:00:00Z,Q15755779,1
Indonesian EFL Journal,NA,NA,NA,NA,NA
In Analysis,France,Q142,2017,Q96708463,1
"Imagination, Cognition and Personality",United Kingdom,Q145,1981,Q27723403,1
IIAI Letters on Informatics and Interdisciplinary Research,NA,NA,NA,NA,NA
IEEE Transactions on Games,NA,NA,NA,NA,NA
Howard Journal of Communications,United States of America,Q30,1988-01-01T00:00:00Z,Q15817713,1
Homo Ludens,Poland,Q36,2009,Q96706661,2
Higher Education,Kingdom of the Netherlands,Q29999,1972-01-01T00:00:00Z,Q5758054,1
HOW Journal,Colombia,Q739,1996,Q113017276,1
"G|A|M|E Games as Art, Media, Entertainment",,,2012-01-01T00:00:00Z,,1
Group,NA,NA,NA,NA,NA
Global media journal,Mexico,Q96,2003-01-01T00:00:00Z,Q123529071,1
George Mason Law Review,United States of America,Q30,1976-01-01T00:00:00Z,Q5542203,1
GeoHumanities,NA,NA,NA,NA,NA
Gender and Language,NA,NA,NA,NA,NA
Games for Health Journal,NA,NA,NA,NA,NA
Games and Culture,United States of America,Q30,2006-01-01T00:00:00Z,Q5520104,11
Games & Education,,,,,1
"Game Studies, the international journal of computer game research",Kingdom of Denmark,Q756617,2001-01-01T00:00:00Z,Q15749364,1
Game Studies,NA,NA,NA,NA,NA
Game Journal,,,1992-01-01T00:00:00Z,,1
GMS Journal of Arts Therapies,NA,NA,NA,NA,NA
Frontiers in Psychology,Switzerland,Q39,2010-01-01T00:00:00Z,Q2794477,3
Frontiers in Psychiatry,NA,NA,NA,NA,NA
Foundation: The International Review of Science Fiction,England,Q21,1972-01-01T00:00:00Z,Q5474536,1
Forum Qualitative Sozialforschung / Forum: Qualitative Social Research,Germany,Q183,1999-01-01T00:00:00Z,Q1439232,1
Forum Italicum,NA,NA,NA,NA,NA
Forum : Qualitative Social Research,NA,NA,NA,NA,NA
Forests,Switzerland,Q39,2010-01-01T00:00:00Z,Q27726711,1
"Fordham Intellectual Property, Media & Entertainment Law Journal",,,1990-01-01T00:00:00Z,,1
Folklore Forum,United States of America,Q30,1968-01-01T00:00:00Z,Q123529386,1
Folklore,NA,NA,NA,NA,NA
Finance Contrôle Stratégie,France,Q142,1998-01-01T00:00:00Z,Q15708777,1
Fantastika Journal,NA,NA,NA,NA,NA
Extrapolation: A Journal of Science Fiction and Fantasy,United States of America,Q30,1959-01-01T00:00:00Z,Q5422243,2
"Ex-centric Narratives: Journal of Anglophone Literature, Culture and Media",,,2017,,1
European Romantic Review,NA,NA,NA,NA,NA
European Journal of Cultural Studies,NA,NA,NA,NA,NA
European Conference on Games Based Learning,NA,NA,NA,NA,NA
Ethos,United States of America,Q30,1973,Q15757300,1
Ethnologie française,France,Q142,1971-01-01T00:00:00Z,Q3059306,1
Ethnographic Encounters,,,2012-01-01T00:00:00Z,,1
EspacesTemps.net Electronic Journal of Humanities and Social Sciences,,,1975-01-01T00:00:00Z,,1
Esharp,NA,NA,NA,NA,NA
Environmental Research Communications,United Kingdom,Q145,2018-01-01T00:00:00Z,Q69648170,1
Entrepreneurship Education and Pedagogy,NA,NA,NA,NA,NA
Entertainment and Sports Lawyer,United States of America,Q30,1982-01-01T00:00:00Z,Q5380478,1
Entertainment Computing,NA,NA,NA,NA,NA
Enterprise Information Systems,United Kingdom,Q145,2007-01-01T00:00:00Z,Q2142322,1
English Teaching: Practice & Critique,New Zealand,Q664,2002-01-01T00:00:00Z,Q15749419,1
English Studies in Canada,NA,NA,NA,NA,NA
Enfermería Clínica,Spain,Q29,1990-01-01T00:00:00Z,Q27721260,1
Encyclopedia,Switzerland,Q39,2021-01-01T00:00:00Z,Q101246285,1
"Emotions: History, Culture, Society",Australia,Q408,2017,Q96698199,1
Emerging Library & Information Perspectives,Canada,Q16,2010-01-01T00:00:00Z,Q96698145,1
Eludamos: Journal for Computer Game Culture,Germany,Q183,2007-01-01T00:00:00Z,Q15817597,1
El Futuro del Pasado: revista electrónica de historia,Spain,Q29,2010-01-01T00:00:00Z,Q50815068,1
Educação Matemática em Revista - RS,NA,NA,NA,NA,NA
Education in the Knowledge Society (EKS),Spain,Q29,2015-01-01T00:00:00Z,Q50817575,3
Education et sociétés,NA,NA,NA,NA,NA
ESharp,United Kingdom,Q145,2003-01-01T00:00:00Z,Q5324411,1
EON,NA,NA,NA,NA,NA
E-Learning and Digital Media,,,2004-01-01T00:00:00Z,Q15749301,1
Dissent,United States of America,Q30,1954-01-01T00:00:00Z,Q2918282,1
Discover Psychology,NA,NA,NA,NA,NA
Discourse: Studies in the Cultural Politics of Education,United Kingdom,Q145,1980-01-01T00:00:00Z,Q15750937,1
Dialogue: The Interdisciplinary Journal of Popular Culture and Pedagogy,United States of America,Q30,2014,Q61902873,2
Developmental Disabilities Network Journal,NA,NA,NA,NA,NA
Deleuze Studies,United Kingdom,Q145,2007-01-01T00:00:00Z,Q5253651,1
Currents in Pharmacy Teaching and Learning,Kingdom of the Netherlands,Q29999,2009,Q15817613,2
Current Psychology,United States of America,Q30,1981,Q15746556,1
Culture & Psychology,United Kingdom,Q145,1995-01-01T00:00:00Z,Q5193484,1
Cultural Studies ↔ Critical Methodologies,United Kingdom,Q145,2001-01-01T00:00:00Z,Q5193239,1
Cultic Studies Journal,United States of America,Q30,1984-01-01T00:00:00Z,Q4041498,2
Creativity Research Journal,United States of America,Q30,1988-01-01T00:00:00Z,Q15750982,1
Convergências : Revista de Investigação e Ensino das Artes,Portugal,Q45,2008-01-01T00:00:00Z,Q50520896,1
Convergence: The International Journal of Research into New Media Technologies,United Kingdom,Q145,1995-01-01T00:00:00Z,Q5166365,6
Continuum,England,Q21,1988-01-01T00:00:00Z,Q5165536,1
Contemporary French and Francophone Studies,England,Q21,1997-01-01T00:00:00Z,Q15757380,1
Concentric: Literary and Cultural Studies,Taiwan,Q865,1964-01-01T00:00:00Z,Q15757977,1
Comunicações,Brazil,Q155,1994-01-01T00:00:00Z,Q50432887,1
Computers in Human Behavior,NA,NA,NA,NA,NA
Comitatus: A Journal of Medieval and Renaissance Studies,NA,NA,NA,NA,NA
Comitatus,United States of America,Q30,1970-01-01T00:00:00Z,Q15766904,1
College & Research Libraries,NA,NA,NA,NA,NA
Collection Building,United Kingdom,Q145,1978-01-01T00:00:00Z,Q15765376,2
Classical World,United States of America,Q30,1907-01-01T00:00:00Z,Q15758695,1
Classical Journal,NA,NA,NA,NA,NA
Classical Bulletin,United States of America,Q30,1925-01-01T00:00:00Z,Q15752949,1
Cinema Journal,United States of America,Q30,1967-01-01T00:00:00Z,Q5120737,1
Child and Adolescent Psychiatric Clinics of North America,United States of America,Q30,1992-01-01T00:00:00Z,Q15749262,1
Cataloging & Classification Quarterly,NA,NA,NA,NA,NA
Cardozo Journal of Equal Rights and Social Justice,NA,NA,NA,NA,NA
Canadian Theatre Review,Canada,Q16,1974-01-01T00:00:00Z,Q39046074,1
Canadian Journal of Sociology,Canada,Q16,1975-01-01T00:00:00Z,Q5030254,1
Canadian Journal of Addiction,NA,NA,NA,NA,NA
Canadian Journal for New Scholars in Education/ Revue canadienne des jeunes chercheures et chercheurs en éducation,Canada,Q16,2008-01-01T00:00:00Z,Q50814910,1
California Law Review,United States of America,Q30,1912-01-01T00:00:00Z,Q5020657,1
Cahiers de Narratologie,,,1987-01-01T00:00:00Z,Q50497570,1
"Caerdroia, the Journal of Mazes & Labyrinths",United Kingdom,Q145,1980-01-01T00:00:00Z,Q123529275,1
Bulletin de psychologie,France,Q142,1948-01-01T00:00:00Z,Q2928064,2
Buffalo Law Review,United States of America,Q30,1951-01-01T00:00:00Z,Q15750156,1
British Journal of Psychology,United Kingdom,Q145,1953-01-01T00:00:00Z,Q15762551,1
British Journal of Educational Technology,United Kingdom,Q145,1970-01-01T00:00:00Z,Q4970198,1
Brazilian English Language Teaching Journal,Brazil,Q155,2010-01-01T00:00:00Z,Q50815723,1
Bio-Algorithms and Med-Systems,NA,NA,NA,NA,NA
Behavioral Sciences,NA,NA,NA,NA,NA
BMC Psychology,NA,NA,NA,NA,NA
BELT - Brazilian English Language Teaching Journal,NA,NA,NA,NA,NA
Autism in Adulthood,United States of America,Q30,2018-01-01T00:00:00Z,Q56065671,1
Autism,NA,NA,NA,NA,NA
Australian Psychologist,Australia,Q408,1966-01-01T00:00:00Z,Q15762904,1
Arts in Psychotherapy,United States of America,Q30,1973,Q15752085,1
Arts and Humanities in Higher Education,United Kingdom,Q145,2002-01-01T00:00:00Z,Q15710289,1
Arizona Law Review,United States of America,Q30,1959-01-01T00:00:00Z,Q15749900,1
Antí teses,Brazil,,2007-01-01T00:00:00Z,,1
Annales Médico-psychologiques,France,Q142,1843-01-01T00:00:00Z,Q564390,1
Animus. Revista Interamericana de Comunicação Midiática,NA,NA,NA,NA,NA
Analytic Teaching and Philosophical Praxis,United States of America,Q30,1980-01-01T00:00:00Z,Q50817206,1
Analog Game Studies,United States of America,Q30,2014-08-01T00:00:00Z,Q123528924,51
American Journal of Sociology,United States of America,Q30,1895-01-01T00:00:00Z,Q465376,1
American Journal of Psychotherapy,United States of America,Q30,1939-01-01T00:00:00Z,Q1951743,1
American Journal of Play,United States of America,Q30,2008-01-01T00:00:00Z,Q4744263,1
American Journal of Multidisciplinary Research and Innovation,NA,NA,NA,NA,NA
